nome;idhm;idhmr;idhme;idhml
São Caetano do Sul (SP);0.862;0.887;0.811;0.891
Águas de São Pedro (SP);0.854;0.89;0.825;0.849
Florianópolis (SC);0.847;0.873;0.8;0.87
Balneário Camboriú (SC);0.845;0.894;0.789;0.854
Vitória (ES);0.845;0.855;0.805;0.876
Santos (SP);0.84;0.852;0.807;0.861
Niterói (RJ);0.837;0.854;0.773;0.887
Joaçaba (SC);0.827;0.891;0.771;0.823
Brasília (DF);0.824;0.873;0.742;0.863
Curitiba (PR);0.823;0.855;0.768;0.85
Jundiaí (SP);0.822;0.866;0.768;0.834
Valinhos (SP);0.819;0.85;0.763;0.848
Vinhedo (SP);0.817;0.878;0.739;0.84
Santo André (SP);0.815;0.861;0.769;0.819
Araraquara (SP);0.815;0.877;0.782;0.788
Santana de Parnaíba (SP);0.814;0.849;0.725;0.876
Nova Lima (MG);0.813;0.885;0.704;0.864
Ilha Solteira (SP);0.812;0.871;0.782;0.786
Americana (SP);0.811;0.876;0.76;0.8
Belo Horizonte (MG);0.81;0.856;0.737;0.841
Joinville (SC);0.809;0.889;0.749;0.795
São José (SC);0.809;0.88;0.752;0.799
Maringá (PR);0.808;0.852;0.768;0.806
São José dos Campos (SP);0.807;0.855;0.764;0.804
Rio Fortuna (SC);0.806;0.85;0.727;0.848
Presidente Prudente (SP);0.806;0.858;0.774;0.788
Blumenau (SC);0.806;0.894;0.722;0.812
São Bernardo do Campo (SP);0.805;0.861;0.752;0.807
Porto Alegre (RS);0.805;0.857;0.702;0.867
Campinas (SP);0.805;0.86;0.731;0.829
São Carlos (SP);0.805;0.863;0.766;0.788
Assis (SP);0.805;0.865;0.781;0.771
São Paulo (SP);0.805;0.855;0.725;0.843
Rio Claro (SP);0.803;0.862;0.766;0.784
Jaraguá do Sul (SC);0.803;0.865;0.755;0.793
Rio do Sul (SC);0.802;0.894;0.727;0.793
Bauru (SP);0.801;0.854;0.752;0.8
Pirassununga (SP);0.801;0.884;0.736;0.789
São Miguel do Oeste (SC);0.801;0.884;0.739;0.787
Concórdia (SC);0.8;0.872;0.756;0.777
Taubaté (SP);0.8;0.883;0.746;0.778
Botucatu (SP);0.8;0.869;0.746;0.79
Vila Velha (ES);0.8;0.864;0.734;0.807
Ribeirão Preto (SP);0.8;0.844;0.739;0.82
Rio de Janeiro (RJ);0.799;0.845;0.719;0.84
Goiânia (GO);0.799;0.838;0.739;0.824
Marília (SP);0.798;0.854;0.776;0.768
Sorocaba (SP);0.798;0.843;0.762;0.792
Guaratinguetá (SP);0.798;0.886;0.751;0.764
Fernandópolis (SP);0.797;0.872;0.758;0.767
São José do Rio Preto (SP);0.797;0.846;0.748;0.801
São João da Boa Vista (SP);0.797;0.871;0.749;0.776
Itapema (SC);0.796;0.881;0.727;0.788
Carlos Barbosa (RS);0.796;0.835;0.724;0.835
Tubarão (SC);0.796;0.866;0.74;0.788
Itajaí (SC);0.795;0.884;0.73;0.778
Brusque (SC);0.795;0.894;0.707;0.794
Iomerê (SC);0.795;0.891;0.749;0.754
Treze Tílias (SC);0.795;0.874;0.685;0.838
Paulínia (SP);0.795;0.864;0.727;0.8
Holambra (SP);0.793;0.878;0.698;0.815
Ipiranga do Sul (RS);0.791;0.866;0.698;0.818
Quatro Pontes (PR);0.791;0.838;0.748;0.79
Nova Odessa (SP);0.791;0.861;0.762;0.755
Saltinho (SP);0.791;0.857;0.75;0.771
Três Arroios (RS);0.791;0.851;0.689;0.843
Votuporanga (SP);0.79;0.857;0.744;0.772
Adamantina (SP);0.79;0.852;0.75;0.772
Santa Cruz da Conceição (SP);0.79;0.876;0.679;0.83
Chapecó (SC);0.79;0.871;0.727;0.779
Lagoa dos Três Cantos (RS);0.789;0.852;0.754;0.765
Luzerna (SC);0.789;0.877;0.718;0.781
Barretos (SP);0.789;0.875;0.738;0.762
Uberlândia (MG);0.789;0.885;0.716;0.776
Cândido Rodrigues (SP);0.789;0.863;0.762;0.747
Mairiporã (SP);0.788;0.881;0.723;0.767
Caçapava (SP);0.788;0.858;0.755;0.754
Cruzeiro (SP);0.788;0.871;0.758;0.742
Palmas (TO);0.788;0.827;0.749;0.789
Fernando de Noronha (PE);0.788;0.839;0.748;0.781
Indaiatuba (SP);0.788;0.837;0.738;0.791
Araçatuba (SP);0.788;0.841;0.744;0.782
Barra Bonita (SP);0.788;0.869;0.739;0.762
Criciúma (SC);0.788;0.846;0.737;0.786
Itajubá (MG);0.787;0.884;0.718;0.767
Espírito Santo do Pinhal (SP);0.787;0.872;0.712;0.784
Barueri (SP);0.786;0.866;0.708;0.791
Lins (SP);0.786;0.869;0.733;0.762
Pompéia (SP);0.786;0.864;0.748;0.75
Porto União (SC);0.786;0.891;0.724;0.752
Garibaldi (RS);0.786;0.856;0.688;0.825
Monte Aprazível (SP);0.785;0.861;0.72;0.781
Catanduva (SP);0.785;0.853;0.74;0.767
Casca (RS);0.785;0.847;0.733;0.778
Cuiabá (MT);0.785;0.834;0.726;0.8
Nova Araçá (RS);0.785;0.843;0.722;0.796
Tremembé (SP);0.785;0.873;0.72;0.769
Piracicaba (SP);0.785;0.848;0.717;0.797
Amparo (SP);0.785;0.871;0.711;0.78
Santa Maria (RS);0.784;0.848;0.715;0.795
Campo Grande (MS);0.784;0.844;0.724;0.79
Ribeirão Pires (SP);0.784;0.847;0.76;0.749
Santa Fé do Sul (SP);0.784;0.84;0.751;0.763
Salto Veloso (SC);0.784;0.88;0.705;0.778
Mogi Mirim (SP);0.784;0.879;0.715;0.767
Ivoti (RS);0.784;0.848;0.729;0.78
Jaguariúna (SP);0.784;0.862;0.715;0.782
Timbó (SC);0.784;0.856;0.697;0.807
Arujá (SP);0.784;0.866;0.73;0.761
Mogi das Cruzes (SP);0.783;0.851;0.74;0.762
Pinhalzinho (SC);0.783;0.886;0.716;0.758
Horizontina (RS);0.783;0.858;0.716;0.782
Lavras (MG);0.782;0.88;0.719;0.757
Cascavel (PR);0.782;0.846;0.728;0.776
Pato Branco (PR);0.782;0.845;0.728;0.778
São Bento do Sul (SC);0.782;0.871;0.719;0.763
Cerquilho (SP);0.782;0.854;0.739;0.758
Caxias do Sul (RS);0.782;0.86;0.686;0.812
Santo Amaro da Imperatriz (SC);0.781;0.89;0.71;0.753
Maravilha (SC);0.781;0.886;0.708;0.758
Lacerdópolis (SC);0.781;0.883;0.708;0.763
Bombinhas (SC);0.781;0.864;0.732;0.753
Santa Bárbara D'Oeste (SP);0.781;0.867;0.731;0.752
Araras (SP);0.781;0.859;0.728;0.763
Caieiras (SP);0.781;0.861;0.749;0.74
